spectraltype,redshift,color,temperature,gravity,metallicity
G1V,0.0001071267,0.6,5630,4.5,-0.45
K0,0.0006628626,0.624,5100,2.73,-1.82
G5,-0.0001694124,0.717,5426,4.5,-0.04
G5Vp,0.0001253418,0.704,5320,4.49,-0.76
sdG2,0.0001256376,0.621,5405,4.49,-1.7
M2V,0.0001771837,1.502,3717,4.89,-0.2
M1V,-0.0007110446,1.474,3705,4.8,0.6
K7V,0.0002200766,1.363,3900,4.232,0.17
M1V,0.0002504991,1.474,3705,4.8,0.6
M1V,-0.000314777,1.474,3705,4.8,0.6
B9V,7.6656E-05,0.05,8320,3.972,0
G5Vp,-3.898816E-05,0.704,5320,4.49,-0.76
K0,-9.574013E-06,0.773,5261,4.55,-0.03
G0V,0.000173291,0.564,5651,4.42,-0.32
F5,0.0002580059,0.455,6246,4.223,-0.12
A2,8.465456E-05,0.298,7118,4.045,-0.15
G1V,0.0002954356,0.6,5630,4.5,-0.45
G5,0.0002801982,0.645,5476,4.357,-0.32
K1V,7.912935E-05,0.819,5169,4.43,-0.17
G5Vp,0.0003451772,0.704,5320,4.49,-0.76
G5Vp,0.0003876297,0.704,5320,4.49,-0.76
G3V,-0.0002425783,0.613,5324,4.47,-0.75
G5,-3.063175E-05,0.717,5426,4.5,-0.04
G5,-8.048985E-05,0.717,5426,4.5,-0.04
G5,0.0002458251,0.717,5426,4.5,-0.04
G5Vp,0.0007586821,0.704,5320,4.49,-0.76
G5Vp,7.603927E-05,0.704,5320,4.49,-0.76
G5Vp,-4.662482E-05,0.704,5320,4.49,-0.76
K0,0.000177298,1.113,4310,1.21,-1.36
G5,-5.909777E-05,0.645,5466,4.215,-0.2
G0,0.0002333741,0.573,5671,4.323,-0.18
G0V,0.0001409266,0.549,5890,4.41,-0.11
K7V,0.0007255029,1.363,3900,4.232,0.17
K7V,0.0005686262,1.363,3900,4.232,0.17
K0V,9.613634E-05,0.786,5221,4.5,-0.24
M1V,0.000842072,1.474,3705,4.8,0.6
M1V,0.0002984668,1.474,3705,4.8,0.6
G0,0.0002183258,0.564,5720,4.4,-0.54
G0V,0.0002949261,0.572,5661,4.27,-0.37
F9V,0.0001067668,0.486,5790,3.7,-0.65
G5,0.0001534582,0.717,5426,4.5,-0.04
G1V,0.0002003154,0.6,5630,4.5,-0.45
G5Vp,0.0003131115,0.704,5320,4.49,-0.76
G5,-0.0001648317,0.717,5426,4.5,-0.04
G7III,0.0008119845,0.89,4850,2.57,-0.44
G5,-5.271743E-05,0.717,5426,4.5,-0.04
F5,0.0003960417,0.455,6246,4.223,-0.12
F8,0.0002593878,0.419,6245,4.234,-0.49
M1V,0.001389453,1.474,3705,4.8,0.6
G0V,0.0004665803,0.572,5661,4.27,-0.37
K0,-0.0001619325,0.773,5261,4.55,-0.03
K8V,8.14888E-05,1.371,3890,4.5,0.28
G6V,0.0002407997,0.603,5474,4.16,-0.67
G5,-4.919511E-05,0.717,5426,4.5,-0.04
G8IV-V,7.975325E-05,0.701,5563,4.23,-0.02
G8V,0.0001540433,0.749,5239,4.5,-0.21
A1V,-0.0001495505,0.107,7852,3.18,-1.67
G8V,0.0002510078,0.692,5285,4.62,-0.71
G5IIIwe,-0.0002666268,0.711,4984,2.36,-1.97
K3V,-5.317027E-05,0.95,4775,4.409,-0.12
F8V,0.0008336598,0.661,5152,2.4,-1.42
G1V,0.00023589,0.561,5659,4.42,-0.6
G5Vp,-0.0001220498,0.704,5320,4.49,-0.76
F2,0.0001763281,0.393,6518,3.9,-0.07
G0V,-6.841248E-05,0.549,5890,4.41,-0.11
G1V,9.878015E-05,0.6,5630,4.5,-0.45
G1V,0.0007223603,0.6,5630,4.5,-0.45
F8,0.0002846765,0.508,5932,4.285,-0.3
F8,0.0001895198,0.419,6245,4.234,-0.49
M1V,-0.0002384038,1.474,3705,4.8,0.6
G8IV-V,0.0001942981,0.701,5563,4.23,-0.02
K0,-9.722323E-05,0.773,5261,4.55,-0.03
K0V,0.0002441921,0.786,5221,4.5,-0.24
F8V,0.001118533,0.661,5152,2.4,-1.42
G5,4.674777E-05,0.717,5426,4.5,-0.04
K1V,-1.038228E-05,0.813,5190,2.7,0.01
G5,-6.163785E-05,0.645,5476,4.357,-0.32
G5,0.0002501261,0.717,5426,4.5,-0.04
G5,0.0002881776,0.717,5426,4.5,-0.04
G5,-0.0001228305,0.645,5476,4.357,-0.32
G8V,0.0001159829,0.749,5239,4.5,-0.21
G8V,0.000235166,0.692,5285,4.62,-0.71
G5,0.0001395546,0.717,5426,4.5,-0.04
K1V,3.062164E-05,0.819,5169,4.43,-0.17
G5III,0.0005710624,0.709,5073,2.51,-1.44
K5V,4.078151E-05,1.069,4382,4.64,-0.28
A1V,0.0002124119,0.107,7852,3.18,-1.67
K5V,-0.0001526702,0.983,4576,4.414,-0.39
G5Vp,0.0001579641,0.704,5320,4.49,-0.76
K0,9.023838E-05,0.773,5261,4.55,-0.03
G5,9.52039E-06,0.645,5476,4.357,-0.32
G5Vp,0.000132143,0.704,5320,4.49,-0.76
G5III,0.0007263753,0.709,5073,2.51,-1.44
G5Vp,0.0002586864,0.704,5320,4.49,-0.76
G5,7.708191E-05,0.717,5426,4.5,-0.04
G5,0.0001403459,0.717,5426,4.5,-0.04
G1V,0.0009847165,0.561,5659,4.42,-0.6
G8V,0.0001466744,0.692,5285,4.62,-0.71
G8V,0.0004379256,0.692,5285,4.62,-0.71
G5,0.0003889538,0.717,5426,4.5,-0.04
G5,-9.618381E-06,0.717,5426,4.5,-0.04
G5,0.0001296662,0.717,5426,4.5,-0.04
G8V,5.320116E-05,0.749,5239,4.5,-0.21
G8V,0.0001188197,0.692,5285,4.62,-0.71
G8V,8.775613E-05,0.692,5285,4.62,-0.71
G5,-0.0001441018,0.717,5426,4.5,-0.04
G5,-4.597104E-05,0.632,5443,4.405,-0.3
F8,-4.373598E-05,0.53,5873,4.37,-0.45
G5,0.0002149291,0.645,5476,4.357,-0.32
F9V,0.0002107622,0.486,5790,3.7,-0.65
F9V,0.0001542075,0.518,6038,4.37,-0.08
M1V,0.001044534,1.474,3705,4.8,0.6
M1V,0.0005159664,1.474,3705,4.8,0.6
Fw,0.001123082,0.647,4949,1.32,-2.32
B3Ve,-5.657182E-05,-0.044,9645,3.49,-0.09
G5,5.245291E-05,0.732,5281,4.374,-0.12
G5,8.835796E-05,0.645,5476,4.357,-0.32
G5,0.0001817946,0.717,5426,4.5,-0.04
G5Vp,0.0005301571,0.704,5320,4.49,-0.76
G0,0.0005121108,0.623,5548,4.206,-0.1
K1V,0.0001655903,0.819,5169,4.43,-0.17
F9V,0.0002239738,0.479,5841,4.16,-0.72
G5,3.342322E-05,0.717,5426,4.5,-0.04
G5,0.0006878479,0.953,4576,1.4,-1.71
G5III,0.0001432016,0.709,5073,2.51,-1.44
G5,3.488387E-05,0.645,5476,4.357,-0.32
G5,-6.144945E-05,0.717,5426,4.5,-0.04
0,0.0001220516,1.633,3714,1.49,-0.57
G2V,-9.362145E-07,0.539,5373,4.37,-1.08
M1V,-0.0004337807,1.474,3705,4.8,0.6
G8V,-0.000261613,0.692,5285,4.62,-0.71
K5V,0.000160376,1.069,4382,4.64,-0.28
G0V,-9.683926E-06,0.549,5890,4.41,-0.11
K3V,-3.334154E-08,1.108,4246,4.368,-0.28
F8V,3.728524E-05,0.502,5891,3.939,-0.34
K2V,-7.199131E-05,0.871,4955,4.47,-0.23
K2V,-1.39952E-05,0.871,4955,4.47,-0.23
M1V,-3.433755E-05,1.474,3705,4.8,0.6
G1V,-2.561038E-05,0.6,5630,4.5,-0.45
G8V,0.0004141776,0.692,5285,4.62,-0.71
M0V,-0.0001283903,1.41,3858,4.165,-0.06
A9Vn,-0.0001198222,0.272,7263,4.09,-0.27
F9V,0.0002230646,0.486,5790,3.7,-0.65
Fw,-0.0001966305,0.647,4949,1.32,-2.32
K1V,0.000230385,0.811,5059,4.45,-0.16
G8V,0.0004088972,0.692,5285,4.62,-0.71
F9V,-0.0001329174,0.518,6038,4.37,-0.08
G8Vp,-0.0007731041,0.754,5047,4.59,-1.34
K1V,2.172876E-05,0.813,5190,2.7,0.01
G5,-0.000105379,0.717,5426,4.5,-0.04
G7V,4.706456E-05,0.656,5377,4.5,-0.35
K1V,0.0001548356,0.811,5059,4.45,-0.16
K3V,2.207634E-05,1.038,4528,4.251,0.07
G2V,4.219572E-05,0.539,5373,4.37,-1.08
G8V,0.0003691701,0.692,5285,4.62,-0.71
F4V,4.407895E-06,0.439,5952,4.22,-1.45
G0V,0.0002754756,0.572,5661,4.27,-0.37
K5V,8.836474E-05,1.069,4382,4.64,-0.28
G8Vp,0.0001426133,0.754,5047,4.59,-1.34
G8V,-9.960603E-05,0.692,5285,4.62,-0.71
G0V,0.0007124857,0.526,5704,4.36,-0.74
G1V,-4.822629E-05,0.6,5630,4.5,-0.45
F8V,0.0005985819,0.661,5152,2.4,-1.42
K2V,-5.646271E-05,0.871,4955,4.47,-0.23
G0V,6.521066E-05,0.572,5661,4.27,-0.37
G6V,-7.7981E-07,0.603,5474,4.16,-0.67
K2V,-4.562003E-05,0.871,4955,4.47,-0.23
G5III,0.0003629549,0.709,5073,2.51,-1.44
K5IV,-0.000139783,1.063,4353,4.522,-0.47
K2V,-9.947781E-05,0.871,4955,4.47,-0.23
F8V-VI,-2.438949E-05,0.446,5895,4.41,-1.05
G3V,-7.524765E-05,0.613,5324,4.47,-0.75
M1V,1.618113E-05,1.474,3705,4.8,0.6
G8Vp,0.0005302665,0.754,5047,4.59,-1.34
G5III,0.0003864227,0.709,5073,2.51,-1.44
G5,0.0001839804,0.768,5097,4.1,-0.46
K0,3.983208E-05,0.773,5261,4.55,-0.03
G0Vwe,0.0003324815,0.427,5734,3.74,-1.56
G5,0.0002912989,0.645,5476,4.357,-0.32
F9V,0.0001471356,0.486,5790,3.7,-0.65
K7V,-3.94831E-05,1.363,3900,4.232,0.17
F9V,-0.0001872481,0.486,5790,3.7,-0.65
G1V,-4.957489E-05,0.633,5742,4.21,0.12
G5,-7.835384E-05,0.759,5262,4.5,-0.03
G5,0.0001615622,0.645,5476,4.357,-0.32
G5III,0.0006572489,0.709,5073,2.51,-1.44
G5,1.470451E-05,0.717,5426,4.5,-0.04
G8IV-V,4.904521E-05,0.858,4804,2.5,-0.5
K0V,5.111894E-05,0.819,5139,4.79,-0.07
K5V,-1.01758E-05,0.983,4576,4.414,-0.39
G5III,0.001091041,0.709,5073,2.51,-1.44
M1V,0.0002313216,1.474,3705,4.8,0.6
G3V,-0.0002224601,0.613,5324,4.47,-0.75
K0V,-0.0002016995,0.786,5221,4.5,-0.24
F8V,0.0002250807,0.661,5152,2.4,-1.42
G8V,0.0001516963,0.692,5285,4.62,-0.71
G5III...,0.0003998447,0.84,4861,2.43,-0.66
G1V,0.0001906328,0.6,5630,4.5,-0.45
K0V,6.889436E-05,0.786,5221,4.5,-0.24
K1V,0.000113235,0.819,5169,4.43,-0.17
K0,0.0006070798,0.624,5100,2.73,-1.82
G9V,0.0001235052,0.764,5132,4.34,-0.61
G0V,0.0003533293,0.564,5651,4.42,-0.32
F8IV,0.0001419423,0.456,6163,4.12,-0.29
M1V,-5.899755E-05,1.474,3705,4.8,0.6
F7V,1.995842E-05,0.465,5935,4.24,-0.54
G0,0.0001004557,0.564,5720,4.4,-0.54
F9V,6.6732E-05,0.486,5790,3.7,-0.65
K1V,0.0003494093,0.811,5059,4.45,-0.16
K5V,-1.455725E-05,1.069,4382,4.64,-0.28
G5Vp,0.0003236943,0.704,5320,4.49,-0.76
K0V,0.0001290898,0.786,5221,4.5,-0.24
K5V,0.000104974,1.069,4382,4.64,-0.28
K3V,-6.341012E-05,1.038,4528,4.251,0.07
K2V,1.990736E-05,0.871,4955,4.47,-0.23
K1V,7.206747E-06,0.819,5169,4.43,-0.17
F8,-2.72416E-05,0.53,5873,4.37,-0.45
G5Vp,0.0002393402,0.704,5320,4.49,-0.76
F9V,0.0001465918,0.486,5790,3.7,-0.65
G8Vp,7.10196E-05,0.754,5047,4.59,-1.34
G1V,0.0003313347,0.6,5630,4.5,-0.45
K1V,-5.491916E-05,0.811,5059,4.45,-0.16
G6V,-0.0001468179,0.603,5474,4.16,-0.67
G8Vp,4.206465E-05,0.754,5047,4.59,-1.34
K0II-III..,0.0005997525,1.159,4343,1.76,-0.54
K5V,-0.0002489823,1.069,4382,4.64,-0.28
F9V,0.0002966967,0.486,5790,3.7,-0.65
G2V,-3.991443E-05,0.539,5373,4.37,-1.08
G5,0.0001124881,0.717,5426,4.5,-0.04
K3V,4.56814E-05,0.95,4775,4.409,-0.12
F9V,-0.0003478052,0.529,5784,4.14,-0.55
G0Vm,-0.0001799095,0.501,5845,3.81,-0.88
F9V,-0.0001035842,0.529,5784,4.14,-0.55
K0V,1.337632E-05,0.786,5221,4.5,-0.24
G0,0.001088277,0.562,5236,2.64,-2.27
A0,0.0001448172,0.116,7652,4.287,0.06
G5,3.120974E-05,0.632,5443,4.405,-0.3
G0,-0.0001255702,0.721,5302,4.5,-0.19
G8V,5.00169E-05,0.66,5761,4.5,0.17
0,0.0001792582,0.404,6442,3.712,-0.33
G5,-2.457004E-05,0.732,5281,4.374,-0.12
F7V-VI,0.0002555628,0.452,5961,4.3,-1.16
G5,0.0001872859,0.717,5426,4.5,-0.04
G5,-3.176544E-05,0.717,5426,4.5,-0.04
K0V,-0.0001478165,0.786,5221,4.5,-0.24
G5Vp,0.0004200586,0.704,5320,4.49,-0.76
G0,0.0001595818,0.757,5261,4.394,-0.13
G5,0.0001104205,0.717,5426,4.5,-0.04
G3V,0.000128216,0.613,5324,4.47,-0.75
G1V,-1.555139E-05,0.6,5630,4.5,-0.45
G5,5.967561E-05,0.645,5476,4.357,-0.32
K1V,0.0001016785,0.819,5169,4.43,-0.17
G5Vp,0.0001131965,0.704,5320,4.49,-0.76
G5,-8.203503E-05,0.717,5426,4.5,-0.04
G8Vp,-0.0001319846,0.754,5047,4.59,-1.34
K0V,-4.968198E-05,0.786,5221,4.5,-0.24
G5,6.411785E-05,0.645,5476,4.357,-0.32
G7V,-3.860565E-05,0.656,5377,4.5,-0.35
F6IV:,-3.17478E-05,0.427,6278,4.1,-0.28
G8IV-V,1.364959E-05,0.701,5563,4.23,-0.02
G5,0.0001847534,0.717,5426,4.5,-0.04
K0V,8.640283E-05,0.786,5221,4.5,-0.24
G5,0.0002080946,0.717,5426,4.5,-0.04
G5,-1.05612E-05,0.717,5426,4.5,-0.04
G5Vp,0.0009013293,0.704,5320,4.49,-0.76
G5,0.0002570451,0.645,5476,4.357,-0.32
K2V,-0.0001388759,0.871,4955,4.47,-0.23
G5,0.0003806918,0.717,5426,4.5,-0.04
K0V,0.0001140295,0.786,5221,4.5,-0.24
G8V,0.0002202879,0.692,5285,4.62,-0.71
G8Vp,-5.751513E-05,0.754,5047,4.59,-1.34
G5,8.572968E-05,0.58,5625,4.2,-0.21
O9.5Ib...,-2.110821E-07,-0.199,9899,2.924,0.09
O9.5Ib...,0.000139823,-0.199,9899,2.924,0.09
Fw,0.0001267768,0.647,4949,1.32,-2.32
M0III,0.00103473,1.674,3796,1.532,-0.27
O9.5Ib...,0.0003100449,-0.199,9899,2.924,0.09
O9.5Ib...,0.000112823,-0.199,9899,2.924,0.09
O9.5Ib...,-0.0003062013,-0.199,9899,2.924,0.09
B9III,-0.0002776486,-0.021,9640,3.804,-0.06
O9.5Ib...,0.0001381165,-0.199,9899,2.924,0.09
0,-0.0005776336,1.633,3714,1.49,-0.57
G1V,-0.0001431923,0.712,5613,4.11,-0.94
G0V,-5.77126E-05,0.564,5651,4.42,-0.32
A9Vn,4.015216E-05,0.272,7263,4.09,-0.27
A1V,0.0001637036,0.107,7852,3.18,-1.67
G0,-0.0004359907,0.573,5671,4.323,-0.18
G1V,-0.0001446567,0.6,5630,4.5,-0.45
K5V,7.618488E-05,0.983,4576,4.414,-0.39
G0V,2.363524E-05,0.557,5762,4.34,-0.42
G5,-0.0001360467,0.58,5625,4.2,-0.21
G0,-0.0004000841,0.564,5720,4.4,-0.54
G5Vp,5.055697E-05,0.704,5320,4.49,-0.76
K2V,-0.0002872104,0.871,4955,4.47,-0.23
K0IV,0.0002424041,0.841,5074,3.49,-0.1
G5Vp,-0.0002835995,0.704,5320,4.49,-0.76
G8IV-V,0.0001787724,0.858,4804,2.5,-0.5
G5Vp,-0.0002691892,0.704,5320,4.49,-0.76
G5Vp,-2.777184E-05,0.704,5320,4.49,-0.76
K0III,-0.0001021075,1.038,4626,2.82,-0.35
K0V,-0.000190514,0.819,5139,4.79,-0.07
K0V,-7.384138E-05,0.819,5139,4.79,-0.07
G3V,-2.19544E-05,0.588,5820,4.37,-0.05
G3V,-0.0003607571,0.613,5324,4.47,-0.75
B9III,0.0002014856,-0.021,9640,3.804,-0.06
K2V,-0.0002248255,0.871,4955,4.47,-0.23
K1V,-0.0002033861,0.819,5169,4.43,-0.17
G1V,-0.0002220353,0.6,5630,4.5,-0.45
K0,-0.000239917,0.773,5261,4.55,-0.03
G5Vp,-0.000124577,0.704,5320,4.49,-0.76
K5V,-8.78303E-05,1.069,4382,4.64,-0.28
K3V,-3.798408E-05,1.038,4528,4.251,0.07
G1V,-0.0002013519,0.6,5630,4.5,-0.45
0,-0.0004952415,0.536,5665,4.28,-0.99
F9V,6.862907E-05,0.486,5790,3.7,-0.65
G5,0.0006003474,0.953,4576,1.4,-1.71
G7V,-0.0001363038,0.656,5377,4.5,-0.35
K0V,-0.0001867438,0.786,5221,4.5,-0.24
G0,6.867351E-05,0.757,5261,4.394,-0.13
G1V,0.0002168638,0.6,5630,4.5,-0.45
G1.5Vb,-4.972358E-05,0.573,5813,4.4,-0.07
M1V,-2.752591E-05,1.474,3705,4.8,0.6
M1V,-0.0001045525,1.474,3705,4.8,0.6
M1V,-0.0001389335,1.474,3705,4.8,0.6
M1V,-0.0001359476,1.474,3705,4.8,0.6
M1V,5.087618E-05,1.474,3705,4.8,0.6
M1V,0.0003199824,1.474,3705,4.8,0.6
O9.5Ib...,-0.0003294085,-0.199,9899,2.924,0.09
F8V-VI,0.0002184432,0.45,5966,4.21,-0.72
G0,1.723323E-05,0.645,5467,4.68,-0.4
G8V,-5.402535E-05,0.749,5239,4.5,-0.21
G6V,0.0002297901,0.603,5474,4.16,-0.67
G8V,0.0004044478,0.692,5285,4.62,-0.71
G3IV,-0.0006522433,0.828,5126,3.5,-0.59
G8V,0.0001288995,0.692,5285,4.62,-0.71
K0II-III..,-0.0005154553,1.159,4343,1.76,-0.54
K0V,-2.585374E-05,0.819,5139,4.79,-0.07
M1V,0.0002784585,1.474,3705,4.8,0.6
M1V,0.0001437127,1.474,3705,4.8,0.6
M1V,-7.891382E-05,1.474,3705,4.8,0.6
Fw,-5.025413E-05,0.647,4949,1.32,-2.32
M1V,0.0001392041,1.474,3705,4.8,0.6
G1V,-0.0005804657,0.712,5613,4.11,-0.94
K2V,2.491236E-05,0.871,4955,4.47,-0.23
G5Vp,0.0001777472,0.704,5320,4.49,-0.76
G5Vp,-0.0002351612,0.704,5320,4.49,-0.76
G5Vp,0.0002892787,0.704,5320,4.49,-0.76
G5,2.081881E-05,0.717,5426,4.5,-0.04
G0V,-9.97186E-05,0.545,5913,4.4,-0.01
G0,0.0006889433,0.564,5720,4.4,-0.54
G8III-IV,-5.636068E-05,0.935,4671,2.46,-0.51
G3IV,-0.000192874,0.828,5126,3.5,-0.59
G8V,-8.510021E-06,0.692,5285,4.62,-0.71
K3V,0.0001469918,0.95,4775,4.409,-0.12
G5Vp,2.842705E-05,0.704,5320,4.49,-0.76
G5Vp,-5.967127E-05,0.704,5320,4.49,-0.76
A1V,0.0001369366,0.107,7852,3.18,-1.67
G5Vp,-0.0002260098,0.704,5320,4.49,-0.76
G5,-9.492258E-05,0.717,5426,4.5,-0.04
K,-5.254849E-05,1.176,4246,4.24,0
sdG2,-0.000252401,0.621,5405,4.49,-1.7
G8Vp,0.0002471939,0.754,5047,4.59,-1.34
K1V,3.422492E-05,0.819,5169,4.43,-0.17
F8,0.0002593659,0.53,5873,4.37,-0.45
K0,0.0001659704,0.773,5261,4.55,-0.03
G8Vp,0.0004235951,0.754,5047,4.59,-1.34
G5III,7.558325E-05,0.709,5073,2.51,-1.44
M1V,-0.0005940613,1.474,3705,4.8,0.6
K3III,-9.491271E-05,1.299,4395,2.11,-0.01
F8V,0.0001255296,0.661,5152,2.4,-1.42
K5V,-0.0001090155,0.983,4576,4.414,-0.39
B9V,-0.0005333463,0.05,8320,3.972,0
A0,-6.619107E-05,0.116,7652,4.287,0.06
K1V,3.100548E-05,0.813,5190,2.7,0.01
F8V,-0.0001408025,0.661,5152,2.4,-1.42
F8V,0.0001468759,0.661,5152,2.4,-1.42
G5Vp,-3.541054E-06,0.704,5320,4.49,-0.76
K1V,5.96865E-05,0.819,5169,4.43,-0.17
G1V,0.0001320669,0.6,5630,4.5,-0.45
K3V,-9.226386E-06,0.95,4775,4.409,-0.12
K0,-0.0001207617,0.773,5261,4.55,-0.03
G5,-8.737239E-05,0.717,5426,4.5,-0.04
M1V,-0.0001447231,1.474,3705,4.8,0.6
M1V,-1.803806E-05,1.474,3705,4.8,0.6
M1V,-0.0001183135,1.474,3705,4.8,0.6
Fw,-0.0001090826,0.647,4949,1.32,-2.32
G2V,0.0003252567,0.581,5506,3.8,-0.5
G7V,4.988499E-06,0.656,5377,4.5,-0.35
G3IV,0.0003391541,0.828,5126,3.5,-0.59
K3III,-0.0003648012,1.299,4395,2.11,-0.01
M1V,0.0008428225,1.474,3705,4.8,0.6
G8V,7.825277E-05,0.652,5455,4.34,-0.55
G8III,0.000168173,1.136,4304,0.93,-1.35
M1V,-0.0001553935,1.474,3705,4.8,0.6
M1V,-0.0001328424,1.474,3705,4.8,0.6
M1V,0.0002189026,1.474,3705,4.8,0.6
G8IV-V,-4.099378E-05,0.701,5563,4.23,-0.02
F7V,0.0001431941,0.465,5935,4.24,-0.54
G8V,-0.000104376,0.652,5455,4.34,-0.55
K5V,5.916666E-05,0.983,4576,4.414,-0.39
G6V,0.0005419662,0.603,5474,4.16,-0.67
G1V,-0.0001606899,0.6,5630,4.5,-0.45
G1V,-4.364259E-05,0.6,5630,4.5,-0.45
G5,0.0001040562,0.717,5426,4.5,-0.04
G8V,0.0002187229,0.692,5285,4.62,-0.71
G5,0.0001078335,0.717,5426,4.5,-0.04
G2III,0.0002664281,0.646,5551,3.7,-0.03
G8V,-8.973003E-05,0.692,5285,4.62,-0.71
G0V,7.914269E-05,0.564,5651,4.42,-0.32
G0V,0.000190152,0.564,5651,4.42,-0.32
G5Vp,6.261732E-05,0.704,5320,4.49,-0.76
G8Vp,0.0001155735,0.754,5047,4.59,-1.34
G8V,0.0001103533,0.692,5285,4.62,-0.71
G7V,0.0001221758,0.656,5377,4.5,-0.35
G8V,0.0003453849,0.692,5285,4.62,-0.71
G2V,-0.0003336486,0.581,5506,3.8,-0.5
G5III,-0.0004209157,0.709,5073,2.51,-1.44
K5IV,-0.0001358402,1.063,4353,4.522,-0.47
K5V,0.0001530382,0.983,4576,4.414,-0.39
O9.5Ib...,0.0002470616,-0.199,9899,2.924,0.09
K7V,0.001016698,1.363,3900,4.232,0.17
O9.5Ib...,-0.0001524079,-0.199,9899,2.924,0.09
O9.5Vvar,0.0001118223,0.18,6537,2.497,-2.09
K3V,0.0009856998,1.108,4246,4.368,-0.28
K7V,5.128646E-05,1.363,3900,4.232,0.17
G0V,0.0001018505,0.564,5651,4.42,-0.32
G5Vp,0.0006346286,0.704,5320,4.49,-0.76
K3V,2.272785E-05,0.95,4775,4.409,-0.12
O9.5Ib...,0.0001821793,-0.199,9899,2.924,0.09
G2V,-0.003327649,0.539,5373,4.37,-1.08
Fw,4.4855E-06,0.647,4949,1.32,-2.32
G3IV,0.0002573391,0.828,5126,3.5,-0.59
G5Vp,0.0001638378,0.704,5320,4.49,-0.76
K3V,5.664468E-06,1.038,4528,4.251,0.07
G8V,-8.118905E-05,0.692,5285,4.62,-0.71
K3V,-0.0001198434,1.038,4528,4.251,0.07
A1V,0.0002726744,0.107,7852,3.18,-1.67
K3V,-2.525809E-05,0.95,4775,4.409,-0.12
G5III,-0.0001689354,0.709,5073,2.51,-1.44
F8,0.0001981233,0.53,5873,4.37,-0.45
M2V,0.0008827613,1.502,3717,4.89,-0.2
M1V,9.800895E-05,1.474,3705,4.8,0.6
K7V,0.0004587326,1.363,3900,4.232,0.17
M1V,0.0006627844,1.474,3705,4.8,0.6
G0V,-0.0001428784,0.526,5704,4.36,-0.74
K1V,4.102983E-05,0.811,5059,4.45,-0.16
K1V,0.0004089273,0.811,5059,4.45,-0.16
A1V,0.0009673209,0.107,7852,3.18,-1.67
M1V,-0.0002790206,1.474,3705,4.8,0.6
G5,4.658951E-05,0.645,5476,4.357,-0.32
G0,-0.0001214392,0.564,5720,4.4,-0.54
M1V,0.0002393583,1.474,3705,4.8,0.6
M1V,-3.773278E-05,1.474,3705,4.8,0.6
M1V,-0.0003063307,1.474,3705,4.8,0.6
K7V,6.116176E-05,1.363,3900,4.232,0.17
O9.5Ib...,0.0007931351,-0.199,9899,2.924,0.09
O9.5Vvar,0.0002126593,0.18,6537,2.497,-2.09
O9.5Vvar,0.0002019456,0.18,6537,2.497,-2.09
O9.5Vvar,8.107151E-05,0.18,6537,2.497,-2.09
O9.5Vvar,0.0004278889,0.18,6537,2.497,-2.09
O9.5Ib...,-6.578715E-05,-0.199,9899,2.924,0.09
M1V,0.0002553108,1.474,3705,4.8,0.6
O9.5Ib...,0.0001079784,-0.199,9899,2.924,0.09
O9.5Ib...,0.0001517296,-0.199,9899,2.924,0.09
O9.5Vvar,0.0001789952,0.18,6537,2.497,-2.09
O9.5Vvar,0.0002544848,0.18,6537,2.497,-2.09
O9.5Ib...,0.0007346107,-0.199,9899,2.924,0.09
G1V,0.0004934645,0.712,5613,4.11,-0.94
F8,0.0001573145,0.53,5873,4.37,-0.45
O9.5Ib...,0.0008504538,-0.199,9899,2.924,0.09
M1V,-6.745183E-05,1.474,3705,4.8,0.6
M1V,0.000113223,1.474,3705,4.8,0.6
O9.5Ib...,5.918131E-05,-0.199,9899,2.924,0.09
M1V,0.0004518581,1.474,3705,4.8,0.6
O9.5Vvar,1.750359E-05,0.18,6537,2.497,-2.09
G8IVvar,-0.0002383274,0.728,5603,4.24,0.32
K1V,-9.904102E-05,0.813,5190,2.7,0.01
K1V...,-0.0003214912,0.863,4801,4.6,-1.72
G8IV-V,-0.0001496401,0.701,5563,4.23,-0.02
K0V,-7.381379E-05,0.786,5221,4.5,-0.24
K0V,-0.0001512434,0.786,5221,4.5,-0.24
G7V,4.182837E-05,0.656,5377,4.5,-0.35
G7V,-1.686993E-05,0.656,5377,4.5,-0.35
G5,3.971511E-05,0.717,5426,4.5,-0.04
G5Vp,-9.108516E-05,0.704,5320,4.49,-0.76
K0,-3.673373E-05,0.773,5261,4.55,-0.03
K5V,-0.0001331604,0.983,4576,4.414,-0.39
G5Vp,-0.0003007992,0.704,5320,4.49,-0.76
G8V,6.85051E-05,0.749,5239,4.5,-0.21
A3V,-0.0002703559,0.114,7828,3.97,0.1
K2V,-0.0001890571,0.871,4955,4.47,-0.23
G5,-0.0002995144,0.717,5426,4.5,-0.04
G5Vp,-0.0001887852,0.704,5320,4.49,-0.76
K0,2.445342E-05,0.773,5261,4.55,-0.03
G5,-0.0002367151,0.717,5426,4.5,-0.04
K5V,-0.0001865794,0.983,4576,4.414,-0.39
F9V,-0.0003727898,0.486,5790,3.7,-0.65
G8IV-V,-9.8345E-05,0.701,5563,4.23,-0.02
G7V,-0.0001715798,0.656,5377,4.5,-0.35
G0V,1.676443E-05,0.536,5621,4.03,-1.02
G5,-0.0001288645,0.759,5262,4.5,-0.03
