spectraltype,redshift,color,temperature,gravity,metallicity
O9.5Vvar,9.663884E-05,0.18,6537,2.497,-2.09
O9.5Vvar,0.0001928905,0.18,6537,2.497,-2.09
O9.5Ib...,0.0002291064,-0.199,9899,2.924,0.09
O9.5Vvar,0.0002375585,0.18,6537,2.497,-2.09
M1V,0.0001506715,1.474,3705,4.8,0.6
O9.5Ib...,0.0004457445,-0.199,9899,2.924,0.09
O9.5Vvar,0.0002743786,0.18,6537,2.497,-2.09
O9.5Vvar,8.156909E-05,0.18,6537,2.497,-2.09
O9.5Vvar,4.477338E-05,0.18,6537,2.497,-2.09
M1V,3.036962E-05,1.474,3705,4.8,0.6
M1V,0.0004433359,1.474,3705,4.8,0.6
M1V,0.0004382814,1.474,3705,4.8,0.6
B9III,-0.0002452206,-0.021,9640,3.804,-0.06
G5Vp,-0.0002497355,0.704,5320,4.49,-0.76
B3Ve,-0.0006215617,-0.044,9645,3.49,-0.09
Fw,-2.361528E-05,0.647,4949,1.32,-2.32
O9.5Ib...,0.0005000369,-0.199,9899,2.924,0.09
M1V,4.733205E-05,1.474,3705,4.8,0.6
O9.5Ib...,-0.0003628922,-0.199,9899,2.924,0.09
M1V,0.0003364865,1.474,3705,4.8,0.6
M1V,-0.0001518427,1.474,3705,4.8,0.6
K7V,0.0005873804,1.363,3900,4.232,0.17
K3III,-1.808015E-05,1.381,4066,1.43,-0.27
0,0.000259848,1.633,3714,1.49,-0.57
O9.5Vvar,2.241947E-05,0.18,6537,2.497,-2.09
O9.5Vvar,-0.0001067907,0.18,6537,2.497,-2.09
M1V,0.0001851073,1.474,3705,4.8,0.6
M1V,-0.0005662582,1.474,3705,4.8,0.6
G2V,-0.0002648644,0.539,5373,4.37,-1.08
G0V,0.0001766732,0.564,5651,4.42,-0.32
0,0.0007603493,1.633,3714,1.49,-0.57
0,0.0002360527,1.633,3714,1.49,-0.57
G2V,7.382272E-05,0.539,5373,4.37,-1.08
K7V,0.0001243372,1.363,3900,4.232,0.17
F9V,2.691605E-06,0.486,5790,3.7,-0.65
G3V,5.958173E-05,0.613,5324,4.47,-0.75
M1V,0.0002248243,1.474,3705,4.8,0.6
M1V,2.765971E-06,1.474,3705,4.8,0.6
sdG2,-9.645848E-05,0.621,5405,4.49,-1.7
A0,-0.0002104298,0.116,7652,4.287,0.06
A0,-0.0001327211,0.116,7652,4.287,0.06
0,0.0002904973,0.536,5665,4.28,-0.99
M1V,5.950209E-05,1.474,3705,4.8,0.6
0,0.0002268696,1.633,3714,1.49,-0.57
0,-0.000389544,1.633,3714,1.49,-0.57
G5,0.0004267433,0.53,5746,4.16,-0.76
M1V,-1.003177E-05,1.474,3705,4.8,0.6
A2pvar,0.0005924575,0.09,8086,4.11,0.49
G0Vm,4.361388E-05,0.501,5845,3.81,-0.88
G5,0.000136031,0.717,5426,4.5,-0.04
G8IV-V,9.271795E-06,0.701,5563,4.23,-0.02
G5,-6.804326E-05,0.732,5281,4.374,-0.12
G5,0.0002465291,0.717,5426,4.5,-0.04
G5,5.117866E-05,0.645,5476,4.357,-0.32
G5,1.957E-06,0.717,5426,4.5,-0.04
G3IV,-6.7621E-07,0.828,5126,3.5,-0.59
G8IVvar,4.533332E-05,0.835,5123,3.15,-0.09
G5,0.0001347599,0.717,5426,4.5,-0.04
G5,-7.577314E-05,0.717,5426,4.5,-0.04
G1V,0.0001448739,0.561,5659,4.42,-0.6
G5,0.0001553402,0.717,5426,4.5,-0.04
G5,1.49983E-05,0.749,5131,3.873,-0.05
K1V,-9.308442E-05,0.819,5169,4.43,-0.17
K3III,-2.343237E-05,1.299,4395,2.11,-0.01
M1V,-0.0001439031,1.474,3705,4.8,0.6
G5Vp,-0.0003731312,0.704,5320,4.49,-0.76
M1V,0.0005604794,1.474,3705,4.8,0.6
G0V,0.0002880388,0.564,5651,4.42,-0.32
G5,7.430404E-05,0.717,5426,4.5,-0.04
G0Vm,5.683797E-06,0.501,5845,3.81,-0.88
G5,4.359894E-05,0.717,5426,4.5,-0.04
K,-4.181076E-05,1.176,4246,4.24,0
